Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-February-2019,1323.00,1336.20,1290.20,1295.25,1310.213006693622370969,29431,1280,38560879.00,3151,10.71,46.00,-27.75
11-February-2019,1300.00,1330.30,1300.00,1322.50,1318.777527055031084503,21715,773,28637254.00,3201,14.74,30.30,22.50
8-February-2019,1305.00,1333.35,1300.00,1308.45,1318.721415565619309958,21419,888,28245694.00,2339,10.92,33.35,3.45
7-February-2019,1290.00,1323.10,1285.60,1313.85,1309.650582454590625517,18113,695,23721701.00,2879,15.89,37.50,23.85
6-February-2019,1322.90,1333.60,1289.95,1298.25,1316.201200365674311379,25159,879,33114306.00,2600,10.33,43.65,-24.65
5-February-2019,1310.35,1332.00,1305.00,1321.15,1320.483348460518047894,28646,1018,37826566.00,2715,9.48,27.00,10.80
4-February-2019,1317.15,1326.75,1305.00,1310.35,1313.021571417871320500,13351,500,17530151.00,1595,11.95,21.75,-6.80
1-February-2019,1301.00,1337.75,1300.00,1317.10,1322.485206845205982002,46339,1497,61282642.00,3836,8.28,37.75,16.10
31-January-2019,1287.00,1316.00,1282.35,1311.10,1304.360679079956188389,18260,657,23817626.00,4013,21.98,33.65,24.10
30-January-2019,1306.25,1316.10,1275.00,1284.65,1291.132609538580845288,23211,840,29968479.00,5407,23.29,41.10,-21.60
29-January-2019,1309.00,1313.80,1288.90,1301.45,1303.656457609556896446,65628,1789,85556366.00,9658,14.72,24.90,-7.55
28-January-2019,1290.00,1311.35,1282.40,1290.05,1294.859137851737258017,23917,1111,30969146.00,3642,15.23,28.95,0.05
25-January-2019,1290.00,1322.00,1286.80,1293.65,1307.531482735274204468,41356,2550,54074272.00,4943,11.95,35.20,3.65
24-January-2019,1271.15,1308.95,1268.55,1299.15,1295.183926038252702636,40886,1539,52954890.00,5194,12.70,40.40,28.00
23-January-2019,1304.00,1304.50,1266.90,1274.30,1286.497605893186003683,21720,983,27942728.00,4589,21.13,37.60,-29.70
22-January-2019,1268.00,1305.75,1264.85,1293.20,1286.727749063071703877,56301,2443,72444059.00,7433,13.20,40.90,25.20
21-January-2019,1221.15,1298.40,1216.40,1270.10,1271.391963837957778892,145567,5644,185072714.00,14396,9.89,82.00,48.95
18-January-2019,1223.00,1239.20,1204.15,1227.00,1224.721161452224434685,73322,2463,89799005.00,11798,16.09,35.05,4.00
17-January-2019,1224.80,1230.00,1207.00,1223.80,1220.975586623577350007,28468,1145,34758733.00,5099,17.91,23.00,-1.00
16-January-2019,1179.45,1220.70,1179.45,1208.45,1209.676840141841064217,48787,1909,59016504.00,6022,12.34,41.25,29.00
15-January-2019,1190.00,1202.00,1180.15,1186.15,1189.389041706936287264,26902,1084,31996944.00,5175,19.24,21.85,-3.85
14-January-2019,1166.70,1192.00,1148.00,1187.20,1170.702336022102173215,40539,2857,47459102.00,7195,17.75,44.00,20.50
11-January-2019,1151.25,1165.10,1135.15,1162.00,1149.791585007349338559,16328,1054,18773797.00,3402,20.84,29.95,10.75
10-January-2019,1162.95,1167.70,1148.95,1153.90,1156.741306668164709847,17801,1301,20591152.00,3171,17.81,18.75,-9.05
9-January-2019,1121.00,1171.00,1121.00,1161.60,1160.229098854059838587,67281,2540,78061374.00,9002,13.38,50.00,40.60
8-January-2019,1140.00,1146.25,1121.05,1126.15,1130.817284410504749487,10738,1288,12142716.00,1454,13.54,25.20,-13.85
7-January-2019,1120.00,1146.25,1120.00,1140.95,1139.496363769925806214,13613,679,15511964.00,1968,14.46,26.25,20.95
4-January-2019,1132.65,1143.25,1109.85,1122.65,1119.233157894736842105,17100,1509,19138887.00,3348,19.58,33.40,-10.00
3-January-2019,1151.00,1162.75,1128.15,1134.20,1142.271093750000000000,21760,963,24855819.00,6642,30.52,34.60,-16.80
2-January-2019,1140.00,1178.30,1140.00,1152.30,1164.483188005771281600,31882,1428,37126053.00,5209,16.34,38.30,12.30
1-January-2019,1140.00,1158.15,1137.75,1151.55,1147.565294535131298793,11272,518,12935356.00,983,8.72,20.40,11.55
31-December-2018,1155.00,1156.95,1145.00,1149.45,1149.859804378202142524,6441,378,7406247.00,1213,18.83,11.95,-5.55
28-December-2018,1151.00,1164.70,1147.00,1153.55,1155.475919814203642586,16362,657,18905897.00,2930,17.91,17.70,2.55
27-December-2018,1120.00,1164.00,1120.00,1149.40,1145.799130579376202579,42097,1760,48234706.00,5634,13.38,44.00,29.40
