Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2019,119.00,122.25,118.85,121.05,120.747529318390191168,365385,2505,44119336.00,58880,16.11,3.40,2.05
30-December-2019,118.80,120.40,118.50,118.85,119.282538347761451771,133189,1384,15887122.00,22921,17.21,1.90,0.05
27-December-2019,118.10,119.25,117.70,118.50,118.598586560518148697,177864,1285,21094419.00,34009,19.12,1.55,0.40
26-December-2019,119.75,120.35,117.70,118.10,118.964371723384153683,647772,2096,77061789.00,529614,81.76,2.65,-1.65
24-December-2019,120.95,121.10,119.25,119.65,120.004121618822749678,144846,1771,17382117.00,35938,24.81,1.85,-1.30
23-December-2019,118.60,121.55,118.25,120.80,119.923044869875018555,383977,2506,46047691.00,62850,16.37,3.30,2.20
20-December-2019,117.70,120.00,116.60,119.55,118.418270352351341836,235759,1702,27918173.00,39132,16.60,3.40,1.85
19-December-2019,118.45,118.45,115.70,117.70,117.096456366948170226,181170,1475,21214365.00,43967,24.27,2.75,-0.75
18-December-2019,120.15,120.15,116.70,117.30,117.649332418838591678,218700,3170,25729909.00,69205,31.64,3.45,-2.85
17-December-2019,120.80,120.80,118.35,119.75,119.417494124787947644,257012,2590,30691729.00,65504,25.49,2.45,-1.05
16-December-2019,120.00,122.30,119.25,121.10,121.325135431881802505,303289,2390,36796579.00,60333,19.89,3.05,1.10
13-December-2019,120.00,120.85,118.35,119.75,119.524648878832938944,202423,1120,24194538.00,39418,19.47,2.50,-0.25
12-December-2019,117.45,120.05,117.00,118.95,118.623619854017684895,378402,2538,44887415.00,65704,17.36,3.05,1.50
11-December-2019,111.30,117.60,110.65,117.25,115.085852367497487542,760212,4644,87489646.00,158379,20.83,6.95,5.95
10-December-2019,116.05,116.05,110.55,111.00,112.866109992373843336,569094,3466,64231426.00,197804,34.76,5.50,-5.05
9-December-2019,118.00,118.00,115.20,116.15,116.257736068370973630,268418,2034,31205669.00,98505,36.70,2.80,-1.85
6-December-2019,121.60,121.75,115.90,117.15,117.910246401665429539,468828,3599,55279625.00,206169,43.98,5.85,-4.45
5-December-2019,122.55,123.60,120.75,121.25,121.410916941818920853,339509,3404,41220099.00,139554,41.10,2.85,-1.30
